REGISTRO_ANIMAL rgd_pai rgd_mae idade_des classe_mae GCDES contagemGC peso_nasc pd_aj conformacao_des precocidade_des musculosidade_des umbigo_des sexo safra GM_DES faz datanas id_mae
KAPL6541 AAAP1653 B4622 208 3 M2013M04 88 32,00 200,61 3,00 3,00 3,00 3,00 M 2013 M04 FBM 21/9/2013 38
KAPL6542 7700 B5266 223 2 F2013M03 94 33,00 113,04 1,00 1,00 1,00 2,00 F 2013 M03 FBM 21/9/2013 36
KAPL6543 COLA4210 BR071283 223 4 F2013M05 101 30,00 175,96 3,00 3,00 3,00 2,00 F 2013 M05 FBM 21/9/2013 72
KAPL6544 THA2538 BR061247 207 5 M2013M06 92 36,00 247,01 4,00 3,00 4,00 3,00 M 2013 M06 FBM 23/9/2013 86
KAPL6545 LBMNC8288 BM070383 252 5 F2013M05 101 29,00 73,17 1,00 1,00 1,00 1,00 F 2013 M05 FBM 23/9/2013 73
KAPL6546 KAPM654 BM030214 221 6 F2013M05 101 35,00 206,04 4,00 3,00 2,00 2,00 F 2013 M05 FBM 23/9/2013 122
KAPL6547 CSCN9126 B5256 207 2 M2013M06 92 33,00 194,30 2,00 2,00 2,00 3,00 M 2013 M06 FBM 23/9/2013 36
KAPL6548 LBMNC8288 B5126 207 3 M2013M06 92 36,00 193,25 3,00 4,00 3,00 4,00 M 2013 M06 FBM 23/9/2013 37
KAPL6550 QUIL7308 B5136 221 3 F2013M03 94 34,00 206,94 4,00 5,00 4,00 3,00 F 2013 M03 FBM 23/9/2013 37
KAPL6551 AAAP1653 B5445 221 2 F2013M03 94 35,00 190,84 4,00 3,00 2,00 2,00 F 2013 M03 FBM 23/9/2013 36
KAPL6552 COLA4210 B4730 205 3 M2013M04 88 35,00 195,83 2,00 1,00 1,00 2,00 M 2013 M04 FBM 24/9/2013 38
KAPL6553 QUIL7308 B5116 205 3 M2013M04 88 36,00 247,02 4,00 5,00 5,00 3,00 M 2013 M04 FBM 24/9/2013 37
KAPL6554 LBMNC8288 B4726 220 3 F2013M03 94 35,00 203,95 3,00 3,00 3,00 3,00 F 2013 M03 FBM 24/9/2013 38
KAPL6555 AAAP1653 B5305 204 2 M2013M04 88 33,00 210,06 3,00 4,00 3,00 3,00 M 2013 M04 FBM 25/9/2013 36
KAPL6556 AZAN5 B4297 219 3 F2013M03 94 34,00 158,66 1,00 2,00 2,00 3,00 F 2013 M03 FBM 25/9/2013 39
KAPL6557 CSCN9126 BR070974 205 5 M2013M06 92 35,00 221,44 4,00 5,00 5,00 3,00 M 2013 M06 FBM 25/9/2013 73
KAPL6558 AZAN5 BR070675 205 5 M2013M06 92 34,00 230,68 4,00 4,00 4,00 3,00 M 2013 M06 FBM 25/9/2013 74
KAPL6559 AZAN5 CL3231 250 6 M2013M06 92 30,00 150,12 2,00 1,00 1,00 3,00 M 2013 M06 FBM 25/9/2013 122
KAPL6561 LBMNC8288 201 205 7 M2013M06 92 32,00 188,73 2,00 3,00 2,00 2,00 M 2013 M06 FBM 25/9/2013 159
KAPL6562 THA2538 BR050597 219 5 F2013M05 101 37,00 202,89 5,00 4,00 3,00 2,00 F 2013 M05 FBM 25/9/2013 97
KAPL6563 REM5531 BR071171 219 4 F2013M05 101 37,00 213,44 3,00 5,00 5,00 3,00 F 2013 M05 FBM 25/9/2013 72
KAPL6564 AAAP1653 BM060534 219 5 F2013M05 101 50,00 240,82 5,00 3,00 3,00 3,00 F 2013 M05 FBM 25/9/2013 85
KAPL6565 THA2538 BR070839 219 5 F2013M05 101 32,00 211,32 4,00 4,00 3,00 4,00 F 2013 M05 FBM 25/9/2013 73
KAPL6566 THA2538 BR050500 250 5 F2013M05 101 35,00 145,04 2,00 2,00 1,00 3,00 F 2013 M05 FBM 25/9/2013 98
KAPL6567 CSCN9126 GO050252 219 5 F2013M05 101 37,00 203,85 4,00 5,00 5,00 3,00 F 2013 M05 FBM 25/9/2013 98
KAPL6568 RDM4153 BM070500 219 5 F2013M05 101 33,00 159,58 2,00 2,00 2,00 2,00 F 2013 M05 FBM 25/9/2013 73
KAPL6570 KAPM1683 B5778 203 2 M2013M04 88 34,00 193,31 2,00 2,00 2,00 2,00 M 2013 M04 FBM 26/9/2013 35
KAPL6571 MANAC2569 B4786 203 3 M2013M04 88 37,00 199,41 3,00 2,00 2,00 3,00 M 2013 M04 FBM 26/9/2013 38
KAPL6572 KAPM1092 B5600 203 2 M2013M04 88 33,00 261,62 5,00 5,00 5,00 3,00 M 2013 M04 FBM 26/9/2013 36
KAPL6573 KAPM1905 B5375 203 2 M2013M04 88 35,00 209,83 3,00 4,00 4,00 3,00 M 2013 M04 FBM 26/9/2013 36
KAPL6574 MANAC2569 KAPL3648 203 3 M2013M04 88 32,00 194,41 3,00 3,00 3,00 3,00 M 2013 M04 FBM 26/9/2013 46
KAPL6575 KAPM1905 B4597 203 3 M2013M04 88 35,00 200,52 2,00 3,00 3,00 3,00 M 2013 M04 FBM 26/9/2013 38
KAPL6576 AZAN5 B4296 202 3 M2013M04 88 35,00 212,77 3,00 3,00 3,00 3,00 M 2013 M04 FBM 27/9/2013 39
KAPL6577 CSCN9126 B5420A 202 2 M2013M04 88 38,00 246,96 5,00 5,00 5,00 3,00 M 2013 M04 FBM 27/9/2013 36
KAPL6578 AAAP1653 B4785 202 3 M2013M04 88 37,00 224,13 4,00 3,00 3,00 3,00 M 2013 M04 FBM 27/9/2013 38
KAPL6579 KAP3325 B5742 202 2 M2013M04 88 30,00 174,50 1,00 2,00 2,00 3,00 M 2013 M04 FBM 27/9/2013 35
KAPL6580 KAP3454 B4565 248 3 F2013M07 88 28,00 143,16 2,00 3,00 3,00 2,00 F 2013 M07 FBM 27/9/2013 38
KAPL6581 LBMNC8288 B5381 248 2 F2013M07 88 37,00 124,22 1,00 1,00 1,00 2,00 F 2013 M07 FBM 27/9/2013 36
KAPL6582 KAP3325 B4946 248 3 F2013M07 88 33,00 179,49 4,00 5,00 4,00 2,00 F 2013 M07 FBM 27/9/2013 37
KAPL6584 KAPM1905 252 217 7 F2013M05 101 32,00 212,97 4,00 4,00 4,00 3,00 F 2013 M05 FBM 27/9/2013 155
KAPL6585 AAAP1653 0234F 217 7 F2013M05 101 35,00 195,65 2,00 3,00 3,00 2,00 F 2013 M05 FBM 27/9/2013 159
KAPL6586 KAPM1683 GO050376 217 5 F2013M05 101 35,00 215,00 3,00 4,00 4,00 3,00 F 2013 M05 FBM 27/9/2013 98
KAPL6588 CSCN9126 B4937 245 3 F2013M07 88 37,00 153,57 3,00 2,00 2,00 2,00 F 2013 M07 FBM 30/9/2013 37
KAPL6589 QUIL7308 B4340 245 3 M2013M08 83 40,00 196,00 4,00 5,00 5,00 3,00 M 2013 M08 FBM 30/9/2013 39
KAPL6590 KAP3454 B5122 245 3 M2013M08 83 37,00 196,43 5,00 4,00 4,00 3,00 M 2013 M08 FBM 30/9/2013 37
KAPL6591 AZAN5 B5685 245 2 M2013M08 83 32,00 184,57 5,00 5,00 5,00 3,00 M 2013 M08 FBM 30/9/2013 35
KAPL6592 MANAC2953 B5179A 245 3 M2013M08 83 33,00 155,57 4,00 2,00 2,00 3,00 M 2013 M08 FBM 30/9/2013 37
KAPL6593 KAP3325 B5024 245 3 M2013M08 83 33,00 169,29 4,00 4,00 4,00 3,00 M 2013 M08 FBM 30/9/2013 37
KAPL6594 AAAP1653 BM060478 200 5 M2013M06 92 37,00 262,75 5,00 5,00 5,00 3,00 M 2013 M06 FBM 30/9/2013 86
KAPL6595 CSCN9126 BM070736 200 4 M2013M06 92 33,00 249,30 5,00 5,00 5,00 3,00 M 2013 M06 FBM 30/9/2013 72
KAPL6596 BONS130 BM070446 200 5 M2013M06 92 30,00 244,20 5,00 5,00 5,00 3,00 M 2013 M06 FBM 30/9/2013 73
KAPL6597 CSCN9126 KT060427 200 5 M2013M06 92 38,00 191,30 2,00 3,00 2,00 3,00 M 2013 M06 FBM 30/9/2013 83
KAPL6598 KAPM1905 BM070468 214 5 F2013M05 101 33,00 228,28 5,00 5,00 5,00 3,00 F 2013 M05 FBM 30/9/2013 73
KAPL6599 RDM4153 BR070443 214 5 F2013M05 101 30,00 175,23 2,00 2,00 2,00 1,00 F 2013 M05 FBM 30/9/2013 74
KAPL6600 QUIL7308 BI6510 214 7 F2013M05 101 30,00 196,82 3,00 4,00 4,00 3,00 F 2013 M05 FBM 30/9/2013 169
KAPL6601 AZAN5 BR070335 275 5 F2013M05 101 27,00 151,47 0,00 0,00 0,00 0,00 F 2013 M05 FBM 30/9/2013 77
KAPL6603 AAAP1653 BM040100 195 5 M2013M06 92 33,00 231,15 4,00 5,00 5,00 3,00 M 2013 M06 FBM 5/10/2013 110
KAPL6604 LBMNC8288 BR070464 195 5 M2013M06 92 29,00 229,31 4,00 5,00 5,00 4,00 M 2013 M06 FBM 5/10/2013 75
KAPL6605 KAPM1905 BM070014 195 5 M2013M06 92 37,00 161,92 1,00 1,00 1,00 2,00 M 2013 M06 FBM 5/10/2013 82
KAPL6606 COLA4210 BR040147A 195 5 M2013M06 92 37,00 211,46 3,00 3,00 3,00 3,00 M 2013 M06 FBM 5/10/2013 111
KAPL6607 AZAN5 BM060442 195 5 M2013M06 92 29,00 184,08 1,00 2,00 2,00 3,00 M 2013 M06 FBM 5/10/2013 86
KAPL6608 BONS130 GO050367 195 5 M2013M06 92 35,00 229,92 3,00 3,00 3,00 2,00 M 2013 M06 FBM 5/10/2013 98
KAPL6609 QUIL7308 BM070863 195 4 M2013M06 92 35,00 246,08 4,00 5,00 5,00 3,00 M 2013 M06 FBM 5/10/2013 71
KAPL6610 RDM4153 BM040092 195 5 M2013M06 92 37,00 282,54 5,00 4,00 5,00 3,00 M 2013 M06 FBM 5/10/2013 111
KAPL6611 AZAN5 BM070541C 209 5 F2013M05 101 30,00 218,90 4,00 4,00 5,00 2,00 F 2013 M05 FBM 5/10/2013 73
KAPL6612 LBMNC8288 KX5338 209 6 F2013M05 101 35,00 191,75 2,00 2,00 2,00 3,00 F 2013 M05 FBM 5/10/2013 136
KAPL6613 AAAP1653 2205 209 6 F2013M05 101 30,00 175,69 2,00 2,00 1,00 2,00 F 2013 M05 FBM 5/10/2013 136
KAPL6614 THA2538 290 209 7 F2013M05 101 29,00 205,84 4,00 3,00 3,00 3,00 F 2013 M05 FBM 5/10/2013 160
KAPL6615 KAP3603 B3631 240 3 F2013M07 88 34,00 192,38 4,00 5,00 5,00 2,00 F 2013 M07 FBM 5/10/2013 47
KAPL6616 KAP3325 B4436 238 3 F2013M07 88 30,00 146,47 2,00 3,00 2,00 2,00 F 2013 M07 FBM 7/10/2013 38
KAPL6617 CSCN9126 B4553 238 3 M2013M08 83 40,00 176,76 4,00 3,00 2,00 2,00 M 2013 M08 FBM 7/10/2013 38
KAPL6618 KAP3454 B4626 238 3 M2013M08 83 37,00 166,71 3,00 4,00 4,00 3,00 M 2013 M08 FBM 7/10/2013 38
KAPL6619 KAPM1905 B5398 238 3 F2013M07 88 36,00 182,47 4,00 4,00 5,00 3,00 F 2013 M07 FBM 7/10/2013 37
KAPL6620 KAP3325 B5270 238 3 F2013M07 88 32,00 75,24 1,00 1,00 1,00 1,00 F 2013 M07 FBM 7/10/2013 37
KAPL6621 BONS130 BR070801 237 5 M2013M09 91 43,00 219,33 5,00 5,00 5,00 3,00 M 2013 M09 FBM 8/10/2013 74
KAPL6622 REM5531 CL4889 237 4 M2013M09 91 36,00 142,33 1,00 1,00 1,00 1,00 M 2013 M09 FBM 8/10/2013 71
KAPL6623 AAAP1653 BM050377 237 5 M2013M09 91 37,00 89,28 1,00 2,00 1,00 2,00 M 2013 M09 FBM 8/10/2013 97
KAPL6624 CSCN9126 BR050972 237 5 M2013M09 91 43,00 160,85 3,00 2,00 1,00 3,00 M 2013 M09 FBM 8/10/2013 97
KAPL6625 AZAN5 4097 237 7 M2013M09 91 35,00 201,58 4,00 4,00 4,00 3,00 M 2013 M09 FBM 8/10/2013 156
KAPL6626 THA2538 BM060792 237 5 M2013M09 91 37,00 213,33 5,00 5,00 5,00 3,00 M 2013 M09 FBM 8/10/2013 83
KAPL6628 LBMNC8288 KT060429 237 5 F2013M10 92 36,00 184,86 4,00 3,00 2,00 2,00 F 2013 M10 FBM 8/10/2013 83
KAPL6629 CSCN9126 BR070586 237 5 F2013M10 92 32,00 191,49 3,00 4,00 3,00 2,00 F 2013 M10 FBM 8/10/2013 74
KAPL6630 QUIL7308 BR070896 237 5 F2013M10 92 29,00 96,34 2,00 1,00 1,00 2,00 F 2013 M10 FBM 8/10/2013 74
KAPL6631 AZAN5 BR060499 237 5 F2013M10 92 35,00 145,76 3,00 2,00 3,00 2,00 F 2013 M10 FBM 8/10/2013 87
KAPL6632 THA2538 BM070523 237 5 F2013M10 92 36,00 164,48 2,00 3,00 3,00 2,00 F 2013 M10 FBM 8/10/2013 73
KAPL6633 AAAP1653 BR051481 237 5 F2013M10 92 30,00 138,10 2,00 2,00 1,00 1,00 F 2013 M10 FBM 8/10/2013 95
KAPL6634 LBMNC8288 BR070908 237 5 F2013M10 92 33,00 193,38 5,00 5,00 5,00 3,00 F 2013 M10 FBM 8/10/2013 74
KAPL6635 LBMNC8288 BR070626 237 5 F2013M10 92 0,00 349,11 3,00 3,00 3,00 2,00 F 2013 M10 FBM 8/10/2013 74
KAPL6636 TECO105 BR061644 237 5 F2013M10 92 33,00 97,68 1,00 1,00 1,00 1,00 F 2013 M10 FBM 8/10/2013 83
KAPL6637 RDM4153 BM050441 234 5 F2013M10 92 34,00 162,33 2,00 3,00 2,00 3,00 F 2013 M10 FBM 11/10/2013 97
KAPL6638 RDM4153 BR070582 234 5 F2013M10 92 37,00 193,15 5,00 3,00 2,00 3,00 F 2013 M10 FBM 11/10/2013 74
KAPL6639 AAAP1653 BR051154 234 5 F2013M10 92 39,00 199,64 5,00 4,00 4,00 2,00 F 2013 M10 FBM 11/10/2013 96
KAPL6640 AZAN5 0276C 234 6 F2013M10 92 32,00 189,95 5,00 5,00 5,00 3,00 F 2013 M10 FBM 11/10/2013 136
KAPL6641 AAAP1653 BM060147 234 5 F2013M10 92 40,00 188,08 2,00 3,00 3,00 2,00 F 2013 M10 FBM 11/10/2013 94
KAPL6642 KAPM1905 BR060959 234 5 M2013M09 91 40,00 226,67 4,00 4,00 5,00 3,00 M 2013 M09 FBM 11/10/2013 85
KAPL6643 LBMNC8288 4035 234 7 M2013M09 91 37,00 195,85 3,00 3,00 3,00 3,00 M 2013 M09 FBM 11/10/2013 148
KAPL6644 RDM4153 BM070017 234 5 M2013M09 91 36,00 206,51 4,00 5,00 5,00 3,00 M 2013 M09 FBM 11/10/2013 82
KAPL6645 CSCN9126 BM060109 234 5 M2013M09 91 35,00 149,87 2,00 1,00 1,00 2,00 M 2013 M09 FBM 11/10/2013 94
KAPL6646 AAAP1653 272 234 7 M2013M09 91 37,00 205,72 4,00 3,00 3,00 3,00 M 2013 M09 FBM 11/10/2013 160
KAPL6647 CSCN9126 BR070459 234 5 M2013M09 91 35,00 215,38 5,00 5,00 5,00 3,00 M 2013 M09 FBM 11/10/2013 75
KAPL6648 KAPM1905 BM060225 234 5 M2013M09 91 30,00 200,51 5,00 4,00 4,00 3,00 M 2013 M09 FBM 11/10/2013 94
KAPL6650 LBMNC8288 BM070470 234 5 M2013M09 91 38,00 138,51 1,00 1,00 1,00 2,00 M 2013 M09 FBM 11/10/2013 73
KAPL6651 AAAP1653 4157 234 7 M2013M09 91 29,00 206,69 4,00 5,00 4,00 3,00 M 2013 M09 FBM 11/10/2013 148
KAPL6652 BONS130 BR060451 233 5 M2013M09 91 35,00 208,05 3,00 4,00 3,00 3,00 M 2013 M09 FBM 12/10/2013 87
KAPL6653 AAAP1653 BM050290 202 5 M2013M09 91 33,00 0,00 0,00 0,00 0,00 0,00 M 2013 M09 FBM 12/10/2013 99
KAPL6654 QUIL7308 BM070386 233 5 M2013M09 91 40,00 211,24 4,00 4,00 4,00 3,00 M 2013 M09 FBM 12/10/2013 74
KAPL6655 BONS130 BR070961 233 5 M2013M09 91 33,00 178,11 2,00 2,00 2,00 2,00 M 2013 M09 FBM 12/10/2013 73
KAPL6656 LBMNC8288 BR070469 233 5 M2013M09 91 38,00 111,00 1,00 1,00 1,00 1,00 M 2013 M09 FBM 12/10/2013 75
KAPL6657 AZAN5 BM060891 233 5 M2013M09 91 28,00 173,11 2,00 3,00 3,00 3,00 M 2013 M09 FBM 12/10/2013 83
KAPL6658 THA2538 BM060703 233 5 M2013M09 91 40,00 167,08 2,00 3,00 2,00 3,00 M 2013 M09 FBM 12/10/2013 85
KAPL6659 LBMNC8288 BM070240 233 5 F2013M10 92 37,00 195,63 4,00 3,00 3,00 2,00 F 2013 M10 FBM 12/10/2013 75
KAPL6660 AAAP1653 BM070524 233 5 F2013M10 92 40,00 216,65 5,00 5,00 5,00 2,00 F 2013 M10 FBM 12/10/2013 73
KAPL6661 KAP3603 B3277 233 3 M2013M08 83 37,00 184,81 4,00 3,00 3,00 3,00 M 2013 M08 FBM 12/10/2013 48
KAPL6662 KAP3454 B5589 233 2 F2013M07 88 35,00 146,76 2,00 2,00 1,00 2,00 F 2013 M07 FBM 12/10/2013 36
KAPL6663 KAP3454 B5143 233 3 F2013M07 88 37,00 182,11 3,00 2,00 3,00 3,00 F 2013 M07 FBM 12/10/2013 37
KAPL6664 KAP3454 B6831 233 1 M2013M08 83 40,00 219,36 4,00 3,00 4,00 3,00 M 2013 M08 FCT 12/10/2013 26
KAPL6665 KAP3325 B4721 233 3 M2013M08 83 38,00 171,39 4,00 4,00 3,00 2,00 M 2013 M08 FBM 12/10/2013 38
KAPL6666 KAP3325 B5593 233 2 M2013M08 83 36,00 182,91 3,00 4,00 3,00 3,00 M 2013 M08 FBM 12/10/2013 36
KAPL6667 KAP3325 B4839 233 3 M2013M08 83 37,00 198,33 4,00 3,00 3,00 3,00 M 2013 M08 FBM 12/10/2013 38
KAPL6668 KAP3538 B2815 233 4 M2013M08 83 34,00 208,85 4,00 4,00 4,00 3,00 M 2013 M08 FBM 12/10/2013 49
KAPL6669 AZAN5 KT060405 230 5 M2013M09 91 36,00 211,30 3,00 4,00 3,00 3,00 M 2013 M09 FBM 15/10/2013 84
KAPL6670 QUIL7308 BR070998 230 5 M2013M09 91 33,00 183,65 2,00 3,00 3,00 2,00 M 2013 M09 FBM 15/10/2013 74
KAPL6671 BONS130 CL3288 217 6 M2013M09 91 35,00 0,00 1,00 1,00 1,00 2,00 M 2013 M09 FBM 15/10/2013 122
KAPL6672 CSCN9126 BR070514 230 5 M2013M09 91 40,00 158,70 1,00 1,00 1,00 1,00 M 2013 M09 FBM 15/10/2013 75
KAPL6673 AAAP1653 BR070467 230 5 M2013M09 91 37,00 168,48 2,00 2,00 2,00 2,00 M 2013 M09 FBM 15/10/2013 75
KAPL6674 KAP2376 BM050507 230 5 M2013M09 91 36,00 195,78 3,00 3,00 3,00 3,00 M 2013 M09 FBM 15/10/2013 96
KAPL6675 RDM4153 CT050051 230 5 M2013M09 91 35,00 211,22 5,00 5,00 5,00 3,00 M 2013 M09 FBM 15/10/2013 96
KAPL6676 BONS130 BR070876 230 5 M2013M09 91 34,00 191,04 3,00 3,00 3,00 3,00 M 2013 M09 FBM 15/10/2013 74
KAPL6677 KAPM1098 421 230 7 M2013M09 91 30,00 186,13 2,00 3,00 2,00 2,00 M 2013 M09 FBM 15/10/2013 146
KAPL6678 AZAN5 BM060616 230 5 M2013M09 91 35,00 156,43 1,00 1,00 1,00 3,00 M 2013 M09 FBM 15/10/2013 85
KAPL6679 CSCN9126 BR060477 230 5 F2013M10 92 34,00 189,22 3,00 4,00 4,00 2,00 F 2013 M10 FBM 15/10/2013 87
KAPL6680 RDM4153 KT070097 230 5 F2013M10 92 36,00 181,17 3,00 4,00 4,00 3,00 F 2013 M10 FBM 15/10/2013 75
KAPL6681 AAAP1653 BR050348 230 5 F2013M10 92 34,00 181,91 3,00 4,00 3,00 2,00 F 2013 M10 FBM 15/10/2013 99
KAPL6682 QUIL7308 4149 230 7 F2013M10 92 32,00 109,61 4,00 5,00 5,00 3,00 F 2013 M10 FBM 15/10/2013 146
KAPL6683 RDM4153 BM070536 230 5 F2013M10 92 35,00 168,30 4,00 4,00 4,00 2,00 F 2013 M10 FBM 15/10/2013 73
KAPL6684 AAAP1653 GO050560 230 5 F2013M10 92 37,00 205,91 5,00 5,00 5,00 2,00 F 2013 M10 FBM 15/10/2013 97
KAPL6685 FVT6662 B5418 230 3 F2013M07 88 35,00 107,13 1,00 1,00 1,00 3,00 F 2013 M07 FCT 15/10/2013 37
KAPL6686 KAP3454 B4397 230 3 F2013M07 88 33,00 184,57 3,00 4,00 3,00 2,00 F 2013 M07 FBM 15/10/2013 39
KAPL6687 FVT6662 B5597 230 3 M2013M08 83 30,00 197,09 3,00 4,00 4,00 3,00 M 2013 M08 FBM 15/10/2013 37
KAPL6689 CSCN9126 B5140 230 3 M2013M08 83 30,00 199,83 4,00 5,00 4,00 3,00 M 2013 M08 FBM 15/10/2013 37
KAPL6690 AZAN5 KAPL1059 227 5 M2013M09 91 38,00 203,59 3,00 3,00 2,00 3,00 M 2013 M09 FBM 18/10/2013 97
KAPL6691 THA2538 BR070848 227 5 M2013M09 91 36,00 238,60 5,00 4,00 4,00 3,00 M 2013 M09 FBM 18/10/2013 74
KAPL6692 QUIL7308 GO050114 227 5 M2013M09 91 35,00 176,54 2,00 3,00 3,00 3,00 M 2013 M09 FBM 18/10/2013 99
KAPL6693 QUIL7308 2457 228 6 F2013M10 92 37,00 183,45 3,00 4,00 4,00 3,00 F 2013 M10 FBM 17/10/2013 135
KAPL6694 AAAP1653 BM070435 228 5 F2013M10 92 30,00 62,24 1,00 1,00 1,00 1,00 F 2013 M10 FBM 17/10/2013 74
KAPL6695 QUIL7308 1253 228 7 F2013M10 92 37,00 170,55 2,00 2,00 1,00 2,00 F 2013 M10 FBM 17/10/2013 147
KAPL6696 LBMNC8288 GO050069 228 5 F2013M10 92 30,00 167,24 2,00 3,00 2,00 2,00 F 2013 M10 FBM 17/10/2013 99
KAPL6697 AAAP1653 BR060397 227 5 M2013M09 91 35,00 118,26 1,00 1,00 1,00 2,00 M 2013 M09 FBM 18/10/2013 87
KAPL6699 AAAP1653 CL3265 227 6 M2013M09 91 35,00 218,17 3,00 4,00 4,00 3,00 M 2013 M09 FBM 18/10/2013 122
KAPL6700 LBMNC8288 CT050065A 227 5 F2013M10 92 36,00 188,64 5,00 5,00 5,00 2,00 F 2013 M10 FBM 18/10/2013 95
KAPL6701 AZAN5 KT060299 227 5 F2013M10 92 33,00 148,64 2,00 3,00 2,00 3,00 F 2013 M10 FBM 18/10/2013 91
KAPL6702 CSCN9126 BM050252 226 5 M2013M09 91 28,00 160,88 3,00 3,00 3,00 3,00 M 2013 M09 FBM 19/10/2013 99
KAPL6704 AAAP1653 BM040276 226 5 M2013M09 91 29,00 223,20 4,00 4,00 4,00 3,00 M 2013 M09 FBM 19/10/2013 109
KAPL6705 RDM4153 BM070721 226 4 M2013M09 91 30,00 190,75 3,00 3,00 2,00 2,00 M 2013 M09 FBM 19/10/2013 72
KAPL6706 LBMNC8288 GO050216 226 5 M2013M09 91 28,00 207,34 2,00 3,00 3,00 3,00 M 2013 M09 FBM 19/10/2013 99
KAPL6707 BONS130 BM050123 226 5 M2013M09 91 35,00 238,50 5,00 4,00 5,00 2,00 M 2013 M09 FBM 19/10/2013 107
KAPL6708 KAPM1905 KT070010 226 5 M2013M09 91 33,00 220,70 3,00 4,00 3,00 3,00 M 2013 M09 FBM 19/10/2013 80
KAPL6709 KAPM1905 4158 226 7 F2013M10 92 30,00 203,76 4,00 3,00 3,00 2,00 F 2013 M10 FBM 19/10/2013 149
KAPL6710 BONS130 BR071284 226 5 F2013M10 92 35,00 164,16 3,00 3,00 3,00 2,00 F 2013 M10 FBM 19/10/2013 73
KAPL6711 AAAP1653 4130 222 7 M2013M11 100 30,00 190,81 3,00 3,00 3,00 3,00 M 2013 M11 FBM 23/10/2013 160
KAPL6713 QUIL7308 3127 222 7 M2013M11 100 30,00 196,49 3,00 3,00 4,00 3,00 M 2013 M11 FBM 23/10/2013 161
KAPL6714 REMC2697 768 222 7 M2013M11 100 33,00 170,16 4,00 4,00 4,00 4,00 M 2013 M11 FBM 23/10/2013 174
KAPL6715 THA2538 BM070128 222 5 M2013M11 100 33,00 232,59 5,00 5,00 5,00 3,00 M 2013 M11 FBM 23/10/2013 82
KAPL6716 KAPM654 642 222 7 M2013M11 100 35,00 210,95 3,00 2,00 2,00 2,00 M 2013 M11 FBM 23/10/2013 172
KAPL6717 THA2538 1563 222 6 F2013M10 92 37,00 203,49 4,00 4,00 4,00 3,00 F 2013 M10 FBM 23/10/2013 141
KAPL6718 RDM4153 426 222 6 F2013M10 92 33,00 184,35 3,00 4,00 4,00 3,00 F 2013 M10 FBM 23/10/2013 135
KAPL6719 REM5531 CL052947 222 5 F2013M10 92 30,00 180,41 3,00 3,00 3,00 2,00 F 2013 M10 FBM 23/10/2013 95
KAPL6720 KAP3343 BR071347 222 5 F2013M10 92 35,00 146,62 2,00 2,00 1,00 2,00 F 2013 M10 FBM 23/10/2013 73
KAPL6721 AAAP1653 BM030229 222 6 F2013M10 92 37,00 189,30 3,00 4,00 4,00 2,00 F 2013 M10 FBM 23/10/2013 123
KAPL6722 CSCN9126 BM070532 222 5 F2013M10 92 35,00 171,22 3,00 3,00 3,00 3,00 F 2013 M10 FBM 23/10/2013 73
KAPL6723 MANAC2953 BM040148 222 5 M2013M11 100 35,00 220,41 5,00 5,00 5,00 3,00 M 2013 M11 FBM 23/10/2013 110
KAPL6724 QUIL7308 BM060544 220 5 F2013M10 92 35,00 224,95 5,00 5,00 5,00 2,00 F 2013 M10 FBM 25/10/2013 86
KAPL6725 KAPM1905 BM070521 220 5 F2013M10 92 30,00 207,55 5,00 5,00 5,00 2,00 F 2013 M10 FBM 25/10/2013 73
KAPL6726 QUIL7308 3950 220 7 F2013M10 92 28,00 182,64 2,00 3,00 3,00 3,00 F 2013 M10 FBM 25/10/2013 150
KAPL6728 RDM4153 BM060344 220 5 M2013M11 100 35,00 224,95 5,00 5,00 5,00 3,00 M 2013 M11 FBM 25/10/2013 93
KAPL6729 RDM4153 BR071367A 220 4 M2013M11 100 30,00 191,32 3,00 4,00 4,00 3,00 M 2013 M11 FBM 25/10/2013 72
KAPL6730 QUIL7308 KT060302 220 5 M2013M11 100 28,00 184,55 3,00 3,00 3,00 3,00 M 2013 M11 FBM 25/10/2013 95
KAPL6731 QUIL7308 B4559 220 3 F2013M07 88 33,00 203,86 3,00 4,00 4,00 3,00 F 2013 M07 FBM 25/10/2013 39
KAPL6732 AAAP1653 B4549 220 3 F2013M07 88 30,00 182,73 2,00 3,00 2,00 2,00 F 2013 M07 FBM 25/10/2013 39
KAPL6734 AAAP1653 B5190 220 3 F2013M07 88 30,00 176,05 3,00 3,00 3,00 2,00 F 2013 M07 FBM 25/10/2013 37
KAPL6735 KAP3603 B4103 219 3 F2013M07 88 28,00 148,82 2,00 4,00 4,00 2,00 F 2013 M07 FBM 26/10/2013 46
KAPL6736 KAP3325 B4499 219 3 F2013M07 88 30,00 187,26 4,00 4,00 3,00 2,00 F 2013 M07 FBM 26/10/2013 39
KAPL6737 AAAP1653 B4552 219 3 F2013M07 88 30,00 167,12 2,00 3,00 2,00 2,00 F 2013 M07 FBM 26/10/2013 39
KAPL6739 LBMNC8288 B4595 219 3 F2013M07 88 30,00 184,38 3,00 2,00 2,00 3,00 F 2013 M07 FBM 26/10/2013 39
KAPL6740 KAP3325 B4666 219 3 M2013M08 83 35,00 160,62 2,00 2,00 2,00 2,00 M 2013 M08 FBM 26/10/2013 39
